东方夏湾拿 4室2厅 东,东方夏湾拿,太平镇,4室2厅 ,363.96, 东 , 其他 ,3,2005, 平房,1,11,8500000.0,23355,VR房源 房本满五年 
雅居乐小院流溪 4室2厅 南,雅居乐小院流溪,赤草,4室2厅 ,140.35, 南 , 其他 ,17,2013, 塔楼,2,12,1700000.0,12113,VR看装修 房本满五年 
雅居乐小院流溪 3室1厅 西南,雅居乐小院流溪,赤草,3室1厅 ,110.56, 西南 , 其他 ,16,2015, 塔楼,7,17,1350000.0,12211,VR看装修 房本满两年 随时看房 
人盛巴厘天地 3室2厅 东南,人盛巴厘天地,神岗镇,3室2厅 ,108.99, 东南 , 毛坯 ,17,2012, 塔楼,0,29,1200000.0,11011,VR看装修 房本满两年 随时看房 
环境优南北对流 空气好 地铁精装洋房带大阳台,逸泉山庄,赤草,3室2厅 ,139.0, 南 , 精装 ,11,2011, 塔楼,4, 一年前发布,2050000.0,14749,近地铁 VR看装修 房本满两年 随时看房 
星汇峰  中层 三房两厅 二孩家庭刚需户型,星汇峰,太平镇,3室2厅 ,100.08, 东北 , 毛坯 ,6,2010, 塔楼,1, 一年前发布,1200000.0,11991,VR看装修 房本满两年 随时看房 
流溪河畔，低密度别墅，居住舒适，环境优美,流溪河山庄,赤草,4室2厅 ,139.26, 西北 , 精装 ,3,2000, 塔楼,35, 4个月以前发布,1850000.0,13285,VR房源 房本满五年 随时看房 
业主真心出售，南北对流，稀有的大户型！！！！！！！,人盛巴厘天地,神岗镇,3室2厅 ,119.87, 南 , 毛坯 ,17,2012, 塔楼,0, 一年前发布,1300000.0,10846,VR看装修 房本满五年 随时看房 
高层复式洋房，毛坯房可按自己喜欢风格装修，。,大城云山,太平镇,5室2厅 ,143.8, 西南 , 毛坯 ,15,2016, 塔楼,7, 2个月以前发布,1950000.0,13561,近地铁 VR房源 房本满两年 随时看房 
珠江壹城别墅大花园210方，位置好,珠江壹城,神岗镇,4室1厅 ,378.22, 东南 , 毛坯 ,2, 板塔结合 , 独栋别墅 ,2, 2个月以前发布,5500000.0,14542,VR房源 房本满两年 随时看房 
地铁口14号线！联排别墅！花园130方左右,逸泉山庄,赤草,5室2厅 ,206.0, 东北 , 精装 ,3, 暂无数据 , 联排别墅 ,11, 1个月以前发布,3750000.0,18204,VR房源 房本满五年 随时看房 
